аб;"(ав I, ай , аба мн. I, ар, мн. ;;PNCT
абагван;(абáгваᴴлъ,–аби);лопатка;NOUN
абагван;(абáгваᴴлъ,–аби);плечо;NOUN
абагьар;;масд. гл. абáгьила;UNKN
абагьар;(–лъ);отек;NOUN
а=б=агьи=ла;(–а,–ас̄,–абé,–б/о,–ӣйāх);опухать;INFN
абадийа=б;;вечный;ADJF
абадин-абада̄л̄ъир;;никогда;ADVB
абадин-абадил̄ъи;;никогда;ADVB
абарона;(–лъ/–лъилъ);оборона;NOUN
абарот;(–лъи лъ);оборот;NOUN
абат=ала;;;PNCT
абатар;;масд. гл. абáтила;UNKN
абатар;(–лъ);течка;NOUN
абатар;(–лъ);баловство;NOUN
абатата=йла;(–л,–лас̄,–лá,–л̄о,–лēх);шевелить;INFN
абатата=йла;(–л,–лас̄,–лá,–л̄о,–лēх);раскачивать;INFN
абататалар;;масд. гл. абататáйла;UNKN
абататалар;(–лъ);шевеление;NOUN
абататалар;(–лъ);раскачивание;NOUN
абататар;;масд. гл. абáтатила;UNKN
абататар;(–лъ);шевеление;NOUN
абататар;(–лъ);шатание;NOUN
абататар;(–лъ);подергивание;NOUN
абатати=ла;(абáта,–ас̄,–абé,–а/б/о,–āх);шевелиться;INFN
абатати=ла;(абáта,–ас̄,–абé,–а/б/о,–āх);шататься;INFN
абатати=ла;(абáта,–ас̄,–абé,–а/б/о,–āх);подергиваться;INFN
абат=а̄ла;;;PNCT
абати=ла;(–ø,–ас̄,–бе,–б/о,–āх);быть в течке;INFN
абати=ла;(–ø,–ас̄,–бе,–б/о,–āх);баловаться;INFN
абатит=або;;см. титвáдила;UNKN
абгунийа=б;;см. áбщинаб;UNKN
абдар;;масд. гл. áбдила;UNKN
абдар;(–лъ);чистка;NOUN
абди=ла;(–ø,–ас̄,–а,–б/о,–āх);чистить;INFN
абе;(авé I,айé , абá мн. I, арé мн. );вот;PRCL
абейав;;вот;PRCL
абейай;;вот;PRCL
аб̄е;;вот;PRCL
абицар=апицер;(–щу/б,–заби);офицер;NOUN
абицарлгьар;(–лъ);офицерство;NOUN
апицант;(–щу/б,–заби);официант;NOUN
абтабиагра̄пийа;(–лъ,–би);автобиография;NOUN
авт̄обуз;(–улъ,–аби);автобус;NOUN
абтобус;(–улъ,–аби);автобус;NOUN
абтамат;(–илъ,–аби);автомат;NOUN
абтаномийа;(–лъ);автономия;NOUN
абтаномийаб;;автономный;ADJF
абтар;(–щу/б,–лъилъ,–заби);автор;NOUN
абтека;(–лъилъ,–аби);аптека;NOUN
абтикар;(–щуб,–лъилъ);аптекарь;NOUN
а=б=це=бел;(–щу/б,–лъилъ , ,–арýб мн.I,–арýлъ мн. );этот;ADJF
абцеӀила=ацебӀир;;в последнее время;NOUN
абцекъа̄л̄ъир;;в последнее время;NOUN
абшижит;(–илъ,–аби);общежитие;NOUN
абщежитийа;(–илъ,–аби);общежитие;NOUN
абщина=б=ащина=б;;столько;NUMR
авадана=б;;веселый;ADJF
авал;(–лъ,–áби);дом;NOUN
авал-ахир;(–лъ);пределы;NOUN
авал-ахир;(–лъ);ясность;NOUN
авара;(–лъ,–би);препятствие;NOUN
авара;(–лъ,–би);хлопоты;NOUN
авараг;(–щу/б,–заби);пророк;NOUN
аварийа;(–лъ,–би);авария;NOUN
аванс;(–илъ,–аби);аванс;NOUN
аваᵸтура;(–лъ,–би);авантюра;NOUN
аваᵸтурист;(–щуб,–заби);авантюрист;NOUN
аваᵸтуриска;(–лъ,–би);авантюристка;NOUN
августбо̄с̄Ӏ;(–улъ);август;NOUN
авейав;;вот;PRCL
авейай;;вот;PRCL
агитатур;(–щу/б,–лъилъ,–заби);агитатор;NOUN
акитацийа;(–лъ);агитация;NOUN
агитпуᵸкут;(–улъ,–аби);агитпункт;NOUN
аграном;(–щу/б,–лъилъ);агроном;NOUN
агъаз;(–илъ);забота;NOUN
агъаз;(–илъ);важность;NOUN
агъазвачӀу=б;;беспечный;ADJF
агъазвачӀу=б;;неважный;ADJF
агь;(–илъ);виноград;NOUN
агьа̄рахӣс;;поверхностно;ADJS
агьа̄рахӣс;;поверхностный;ADJF
агьецӀа=йла;(–л,–лас̄,–лá,–л̄о,–лēх);поднимать;INFN
агьецӀи=ла;(–ø,–ас̄,–б,–б/о,–е́̄х);вставать;INFN
агьецӀи=ла;(–ø,–ас̄,–б,–б/о,–е́̄х);подниматься;INFN
агьи;;наверх;ADVB
агьи;;выше;NOUN
агьи;;на;INTJ
агьибугьа=йла;(–л,–лас̄,–лá, л̄о,–лēх);повторять;INFN
агьикьи;;вниз;ADVB
агьикъайди=ла;(–ø,–ас̄,–бе,–б/о,–āх);поручать;INFN
агьикьимакӀва;(–лъ,–би);сад;NOUN
агьикьих̄у=б;;крутой;ADJF
агьила;;еще;PRCL
агьила;;напротив;ADVB
агьила;;вдобавок;ADVB
агьилалъа̄би;;в будущем году;NOUN
агьим;(–улъ,–аби);балка;NOUN
агьӣс;;сверху;PREP
агьӣс;;с;NOUN
агьӣс;;верхний;ADJF
агьӣс=ба=гъу=ла;(–ø, агьӣс̄багъвас̄, агьӣс̄багъва,–б/о, агьӣс̄багъвēх);просить прощения;INFN
агьӣс=б=елъила;(–ø,–ас̄,–бе,–б/о,–ēх);прощать;INFN
агьӣс=б=елъу=б;;ловкий;ADJF
агьихинди;;выше;NOUN
агьло;(–лъ/–лъилъ, собир.);люди;NOUN
агьо̄лела;(–улъ,–иби);тыльная сторона ладони;ADJF
адаб;(–илъ);вежливость;NOUN
адабе;;вот;PRCL
адабочӀу=б;;невоспитанный;ADJF
адабейав;;вот;PRCL
адабейай;;вот;PRCL
адабийат;(–илъ);литература;NOUN
адаб-хъатир;(–лъ);уважительность;NOUN
адабчӀана̄с;;вежливый;ADJF
адабида=б;;вежливый;ADJF
арам;(–улъ);человек;NOUN
адамвачӀу=б;;одинокий;ADJF
адамгьела=ба;;человечный;ADJF
адарейав;;вот;PRCL
адарейай;;вот;PRCL
адвакат;(–щу/б,–лъилъ,–заби);адвокат;NOUN
адийал;(–лъ,–аби);одеяло;NOUN
адикалон;(адикалóНлъ/адикалóНлъилъ,–аби);одеколон;NOUN
адрис;(–илъ,–аби);адрес;NOUN
а̄деленийа;(–лъ,–би);отделение;NOUN
а̄дил;(–лъилъ,–аби);отдел;NOUN
адж̄и=ла;(–ø,–ēс̄,–ē, б/о,–ийāх);поцеловать;INFN
азал;(–лъ,–аби);долото;NOUN
азалийа=б;;вечный;ADJF
азалийа=б;;предопределенный;PRTF
азалу=б;;постный;ADJF
азалъ;(–улъ,–аби);дверная коробка;ADJF
азарда;;тысяча;NOUN
азарда̄л̄ъир;;тысяча;NOUN
азарчӀекӀу=б;;тысяча;NOUN
азбар;(–лъ,–ал);двор;NOUN
аздагьо;(–лъ, аздагьвáби);дракон;NOUN
аздагьо;(–лъ, аздагьвáби);злой человек;ADJF
азербижана=в;(–щу/б,–ди);азербайджанец;NOUN
азербижанади;(–уб);азербайджанцы;NOUN
азербижанай;(–л̄ъ̄илъ, азербижáнади);азербайджанка;NOUN
ази-азарда;;тысяча;NOUN
айат;(–илъ,–аби);стих;NOUN
ай̄е;;вот;PRCL
ай̄о;;вот;PRCL
айрадром;(–лъилъ,–аби);аэродром;NOUN
акв̄е=ла;(–ø,–с̄,–ø,–б/о,–йāх);косить;INFN
акве̄р;(–лъилъ);жатва;NOUN
акийан;(акийáНлъилъ,–аби);океан;NOUN
акта;(–лъ,–би);акт;NOUN
актабирбо̄с̄Ӏ;(–улъ);октябрь;NOUN
акушерка;(–лъ,–би);акушерка;NOUN
акъвакь;(–илъ,–аби);навес;NOUN
акъвар;;масд. гл. áкъула;UNKN
акъвар;(–лъ);кровля;NOUN
акъо;(–лъ,–би);конура;NOUN
акъо;(–лъ,–би);шалаш;NOUN
акъо;(–лъ,–би);лачуга;NOUN
акӀвама=аркӀвама;(–лъ,–би);стреха;NOUN
акӀвама=аркӀвама;(–лъ,–би);козырек;NOUN
акӀвама=аркӀвама;(–лъ,–би);фуражка;NOUN
ал;(–илъ,–аби);лист;NOUN
ал;(–илъ,–аби);листва;NOUN
ала;(–илъ,–иби);плита;NOUN
ала;(–илъ,–иби);плита;NOUN
ала;(–илъ,–иби);стойло;NOUN
алара;(–лъ,–би);стог;NOUN
алат;(–илъ, собир.);инструмент;NOUN
алахъ;(–лъилъ,–аби);глушь;NOUN
алахъ;(–лъилъ,–аби);пастбище;NOUN
алахъ;(–лъилъ,–аби);пустое место;ADJF
албом=албум;(албóНлъилъ,–аби);альбом;NOUN
алгьа=б;"(–в I,–й ,–ба мн. I,–р мн. ;pron;LATN
б=игъар;(–лъ);устройство (в гостях);NOUN
б=игъар;(–лъ);прекращение;NOUN
б=игъар;(–лъ);настояние;NOUN
б=игъар;(–лъ);наступление (времени года);NOUN
б=игъва=йна;(–н,–нас̄,–нá,–н̄о,–неO);доводить (животное) до нервозности;INFN
б=игъва=йна;(–н,–нас̄,–нá,–н̄о,–неO);заслужить немилость (к себе);INFN
б=игъва=йна;(–н,–нас̄,–нá,–н̄о,–неO);настраивать кого–л. против  кого–л.;INFN
б=игъван;;масд. гл.   бӣгъуна;UNKN
б=игъван;(–лъилъ);нарыв;GRND
б=игъигъа=йла=б=игъагъа=йла;(–л,–лас̄,–лá,–л̄о,–лēх);становить (вертикально);INFN
б=игъигъа=йла=б=игъагъа=йла;(–л,–лас̄,–лá,–л̄о,–лēх);останавливать;INFN
б=игъигъа=йна;(–н,–нас̄,–нá,–н̄о,–нēх);наносить поражение;INFN
б=игъигъалар;;масд. гл.   бӣгъигъайла;UNKN
б=игъигъалар;(–лъилъ);постановка;NOUN
б=игъигъалар;(–лъилъ);остановка;NOUN
б=игъигъалар;(–лъилъ);задержка;NOUN
б=игъигъан;;масд. гл.  бӣгъигъайна;UNKN
б=игъигъан;(бӣгъигъаᴴлъ);проигрыш;NOUN
б=игъигъанар;;масд. гл.  бӣгъигъайна;UNKN
б=игъигъанар;(–лъилъ);победа;NOUN
б=игъигъар;;масд. гл.  бӣгъигъила;UNKN
б=игъигъар;(–лъилъ);стойка;ADJS
б=игъигъар;(–лъилъ);остановка;NOUN
б=игъигъар;(–лъилъ);устройство (в гостях);NOUN
б=игъигъар;(–лъилъ);прекращение;NOUN
б=игъигъар;(–лъилъ);наступление (времени года);NOUN
б=игъигъи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);останавливаться;INFN
б=игъигъи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);задерживаться;INFN
б=игъигъи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);прекращаться;INFN
б=игъигъи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);стоять;INFN
б=игъигъ=ина;(–аᴴ,–аᴴс̄,–амé,–а/м/о,–нāх);проигрывать;INFN
б=игъи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);стоять;INFN
б=игъи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);останавливаться;INFN
б=игъи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);ждать;INFN
б=игъи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);обосновываться (в гостях);INFN
б=игъи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);переставать;INFN
б=игъи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);настаивать;INFN
б=игъи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);наступать;INFN
б=игъи=на;(–аᴴ,–аᴴс̄,–амé,–а/м/о,–нāх);проигрывать;INFN
б=игъичӀида=бо;;деепр. отриц. ф. гл.  бӣгъила;UNKN
б=игъичӀида=бо;;непрерывно;ADJS
б=игъу=на;(бигъваᴴ, бӣгъваᴴс̄, бигъвамé, бӣгъва/м/о,–нāх);нарывать;INFN
бигьа;(–лъ);калина–гордовина;ADJF
бигьада;;легко (без усилий);ADJS
бигьадже̄р;;масд. гл. бигьáджӣла;UNKN
бигьадже̄р;(–лъ);облегчение;NOUN
бигьадж̄и=ла;(–ø,–ес̄,–ā,–/б/о,–ӣйāх);облегчать;INFN
бигьалгьар;;масд. глагола   бигьáлгьила;UNKN
бигьалгьар;(–лъилъ);легкость;NOUN
бигьалгьи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);облегчаться;INFN
б=игьан;;масд. гл.  бӣгьина;UNKN
б=игьан;(бӣгьаᴴлъ);привязывание;NOUN
бигь̄ес;;легкий (нетрудный);ADJF
бигь̄ес;;покладистый;ADJF
б=игьигьан;;масд. гл. бигьӣгьина;UNKN
б=игьигьан;(бигьӣгьаᴴлъ);привязывание;NOUN
б=игьигьи=на;(–аᴴ,–аᴴс̄,–áᴴ,–а/м/о,–нāх);привязывать;INFN
б=игьидар;;масд. гл.   бӣгьидила;UNKN
б=игьидар;(–лъилъ);бред;NOUN
бигьиди=ла;(–ø,–ас̄,–ибе,–и/б/о,–āх);бредить;INFN
б=игьи=на;(–аᴴ,–áᴴс̄,–áᴴ,–á/м/о,–нāх);привязывать;INFN
бидгӀа;(–лъилъ);ересь;NOUN
бидира;(–лъ,–би);ведро;NOUN
бидула=в;(–щу/б,–ди);убийца;NOUN
б=ижа=йла;(–л,–лас̄,–лá,–л̄о,–лēх);выращивать (растение, животное);INFN
б=ижа=йла;(–л,–лас̄,–лá,–л̄о,–лēх);выдумывать (ложь);INFN
б=ижалар;;масд. гл.  бӣжайла;UNKN
б=ижалар;(–лъилъ);выращивание;NOUN
б=ижалар;(–лъилъ);выдумывание;NOUN
б=ижар;;масд. гл.   бӣжила;UNKN
б=ижар;(–лъилъ);рождение;NOUN
б=ижар;(–лъилъ);рост;NOUN
б=ижи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);рождаться;INFN
б=ижи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);расти;VERB
бийа̄хдачӀана;;намеренно;ADJS
б=ий̄о=б;;прич. гл.   бӣла;UNKN
б=ий̄о=б;;знающий;PRTF
б=ий̄о=б;;умелый;ADJF
б=ий̄о=б;;заметный;ADJF
бийо̄=б-гьайно̄б;;знакомый;ADJF
бийо̄=б=да;;явно;ADJS
б=икъар;;масд. гл.  бӣкъила;UNKN
б=икъар;(–лъилъ);раздача;NOUN
б=икъар;(–лъилъ);деление;NOUN
б=икъикъар;;масд. гл.  бикъӣкъила;UNKN
б=икъикъар;(–лъилъ);раздача;NOUN
б=икъикъи=ла;(–ø,–ас̄,–á,–б/о,–ēх);раздавать;INFN
б=икъи=ла;(–ø,–áс̄,–á,–б/о,–е́̄х);делить;INFN
б=икъи=ла;(–ø,–áс̄,–á,–б/о,–е́̄х);распределять;INFN
бикьацӀа;;восемьдесят;NUMR
бикьацӀида;;восемь раз;NUMR
бикьи-бикьи;;по восемь;NOUN
бикьида;;восемь;NUMR
бикь̄иӀар;;восемью;ADVB
бикь̄ил̄ъо=б;;восьмой;ADJF
билгьа=йла;(–л,–лáс̄,–лá,–л̄о,–лēх);понуд. от   бӣлгьила;UNKN
б=илгьам;;прич. гл.   бӣлгьина;UNKN
б=илгьам;;вареный;ADJF
б=илгьам;;крашеный;ADJF
б=илгьан;;масд.  гл.  бӣлгьина;UNKN
б=илгьан;(билгьáᴴлъ);варка;ADJS
б=илгьан;(билгьáᴴлъ);крашение (ткани);NOUN
б=илгьар;(–лъилъ);масд. гл.   бӣлгьила;UNKN
б=илгьар;(–лъилъ);укладка;NOUN
б=илгьар;(–лъилъ);седловка;NOUN
б=илгьар;(–лъилъ);помещение кого–л. куда–л.;NOUN
б=илгьар;(–лъилъ);наложение (штрафа, налога);NOUN
б=илгьар;(–лъилъ);добавление;NOUN
б=илгьар;(–лъилъ);совершение бракосочетания;NOUN
б=илгьар;(–лъилъ);оживление;NOUN
б=илгьар;(–лъилъ);именование;NOUN
билгьаᵸчӀу=б;;см. гьатIурáб;UNKN
билгьаᵸл̄ъиба̄чӀуб;;см. гьатIурáб;UNKN
б=илгьилгьар;;масд. гл.   билгьӣлгьила;UNKN
б=илгьилгьар;(–лъилъ);укладка;NOUN
б=илгьилгьар;(–лъилъ);добавление;NOUN
б=илгьилгьар;(–лъилъ);наложение (штрафа, налога);NOUN
б=илгьилгьар;(–лъилъ);помещение  кого–л. куда–л.;NOUN
б=илгьилгьар;(–лъилъ);именование;NOUN
б=илгьилгьи=ла;(–ø,–áс̄,–á,–б/о,–ēх);укладывать;INFN
б=илгьилгьи=ла;(–ø,–áс̄,–á,–б/о,–ēх);добавлять;INFN
б=илгьилгьи=ла;(–ø,–áс̄,–á,–б/о,–ēх);обладать;INFN
б=илгьилгьи=ла;(–ø,–áс̄,–á,–б/о,–ēх);помещать;INFN
б=илгьилгьи=ла;(–ø,–áс̄,–á,–б/о,–ēх);именовать;INFN
б=илгьи=ла;(ø,–áс̄,–á,–б/о,–ēх);укладывать;INFN
б=илгьи=ла;(ø,–áс̄,–á,–б/о,–ēх);помещать;INFN
б=илгьи=ла;(ø,–áс̄,–á,–б/о,–ēх);добавлять;INFN
б=илгьи=ла;(ø,–áс̄,–á,–б/о,–ēх);облагать;INFN
б=илгьи=ла;(ø,–áс̄,–á,–б/о,–ēх);назначать;INFN
б=илгьи=ла;(ø,–áс̄,–á,–б/о,–ēх);именовать;INFN
б=илгьи=ла;(ø,–áс̄,–á,–б/о,–ēх);оживлять;INFN
б=илгьи=ла;(ø,–áс̄,–á,–б/о,–ēх);совершать акт бракосочетания;INFN
б=илгьи=на;(–аᴴ,–áᴴс̄,–áᴴ,–а/м/о,–нāх);вариться;INFN
б=илгьи=на;(–аᴴ,–áᴴс̄,–áᴴ,–а/м/о,–нāх);краситься;INFN
б=илгьи=на;(–аᴴ,–áᴴс̄,–áᴴ,–а/м/о,–нāх);варить;INFN
б=илгьи=на;(–аᴴ,–áᴴс̄,–áᴴ,–а/м/о,–нāх);красить;INFN
б=ӣла=йна;(–н,–нас̄,–нá,–н̄о,–нēх);будить;INFN
б=ӣлан;;масд. гл.  бил̄ӣна;UNKN
б=ӣлан;(бил̄áᴴлъ);пробуждение;NOUN
б=ӣланар;;масд. гл.  бил̄áйна;UNKN
б=ӣланар;(–лъилъ);пробуждение;NOUN
б=иеила=йна;(–н,–нас̄,–на,–н̄о,–нēх);будить;INFN
б=иеилан;;масд. гл.   бил̄ӣлина;UNKN
б=иеилан;(бил̄илаᴴлъ);пробуждение;NOUN
б=иеиланар;;масд. гл.  бил̄илáйна;UNKN
б=иеиланар;(–лъилъ);пробуждение;NOUN
б=иеили=на;(–аᴴ,–аᴴс̄,–аме,–а/м/о,–нāх);просыпаться;INFN
б=иеи=на;(–аᴴ,–аᴴс̄,–амé,–а/м/о,–нāх);просыпаться;INFN
б=иӀа=йла;(–л,–лас̄,–лá,–ли/б/о,/–л̄о,–лēх);макать;INFN
б=иӀа=йла;(–л,–лас̄,–лá,–ли/б/о,/–л̄о,–лēх);дотрагиваться;INFN
б=иӀалар;;масд. гл.  бил̄ъ̄áйла;UNKN
б=иӀалар;(–лъилъ);обмакивание;NOUN
б=иӀалар;(–лъилъ);прикасание;NOUN
биӀалъи;;на закате;INTJ
б=иӀар;;масд. гл.  бӣл̄ъ̄ила;UNKN
б=иӀар;(–лъӣлъ);касание;NOUN
б=иӀар;(–лъӣлъ);закат;NOUN
б=иӀи=ла;(–ø,–áс̄,–бé,–б/о,–е́̄х);касаться;INFN
б=иӀи=ла;(–ø,–áс̄,–бé,–б/о,–е́̄х);закатиться (о солнце);INFN
б=иӀиӀа=йла;(–л,–лас̄,–лá,–л̄о,–лēх);макать;INFN
б=иӀиӀалар;;масд. гл. бил̄ъ̄ил̄ъ̄áйла;UNKN
б=иӀиӀалар;(–лъилъ);обмакивание;NOUN
б=иӀиӀар;;масд. гл.  бил̄ъ̄ӣлъила;UNKN
б=иӀиӀар;(–лъилъ);касание;NOUN
б=иӀиӀ=ила;(–и,–ас̄,–ибé,–и/б/о,–ēх);касаться;INFN
б=ил̄ъаᵸхъид=айла;(–ал,–алас̄,–алá,–ал̄о,–лēх);исполнять;INFN
б=ил̄ъаᵸхъид=айла;(–ал,–алас̄,–алá,–ал̄о,–лēх);укоренять;INFN
б=ил̄ъаᵸхъидалар;;масд. гл.  билIáᴴхъидайла;UNKN
б=ил̄ъаᵸхъидалар;(–лъилъ);претворение в жизнь;NOUN
б=ил̄ъаᵸхъидалар;(–лъилъ);укоренение;NOUN
б=ил̄ъаᵸхъидар;;масд. г л.  билIаᴴхъидила;UNKN
б=ил̄ъаᵸхъидар;(–лъилъ);исполнение;NOUN
б=ил̄ъаᵸхъидар;(–лъилъ);бытование;NOUN
б=ил̄ъаᵸхъиди=ла;(–ø,–ас̄,–бé,–б/о,–āх);исполняться;INFN
б=ил̄ъаᵸхъиди=ла;(–ø,–ас̄,–бé,–б/о,–āх);укореняться;INFN
биргада;(–лъ,–би);бригада;NOUN
биргадир;(–щу/б,–лъилъ,–заби);бригадир;NOUN
бирзин;(бирзáᴴлъ);бензин;NOUN
бирзинт;(–илъ);брезент;NOUN
биркӀа;(–лъ,–би);нумерованная метка (на ушах животного);PRTF
бирлаᵸт;(–илъ);бриллиант;NOUN
биро;(–лъ,–би);бюро;NOUN
б=иса=йла;(–л,–лас̄,–лá,–л̄о,–лēх);втыкать;INFN
б=иса=йна;(–н,–нáс̄,–нá,–н̄о,–неO);находить;INFN
б=иса=йна;(–н,–нáс̄,–нá,–н̄о,–неO);обеспечить;INFN
б=исан;;масд. глагола   бӣсина;UNKN
б=исан;(бисáᴴлъ);нахождение;NOUN
б=исан;(бисáᴴлъ);нужность;NOUN
б=исан;(бисáᴴлъ);догадка;NOUN
б=исанар;;масд. гл.  бисáйна;UNKN
б=исанар;(–лъилъ);нахождение;NOUN
б=исанар;(–лъилъ);обеспечение;NOUN
б=исар;;масд. гл.   бӣсила;UNKN
б=исар;(–лъилъ);уплотнение;NOUN
б=иси=ла;(–ø,–ас̄,–á,–б/о,–ēх);уплотнять;INFN
б=иси=на;(–аᴴ,–áᴴс̄,–амé,–м/о,–ӣнāх);находиться;INFN
б=иси=на;(–аᴴ,–áᴴс̄,–амé,–м/о,–ӣнāх);понадобиться;INFN
б=иси=на;(–аᴴ,–áᴴс̄,–амé,–м/о,–ӣнāх);если бы;CONJ
б=иси=на;(–аᴴ,–áᴴс̄,–амé,–м/о,–ӣнāх);если так;CONJ
б=иси=на;(–аᴴ,–áᴴс̄,–амé,–м/о,–ӣнāх);наверное;ADVB
б=исиса=йла;(–л,–лас̄,–лá,–л̄о,–лēх);прижимать;INFN
б=исиса=йна;(–н,–нáс̄,–нá,–н̄о,–нēх);находить;INFN
б=исисалар;;масд. гл.   бисисáйла;UNKN
б=исисалар;(–лъилъ);прижатие;NOUN
б=исисан;;масд. гл.  бисӣсина;UNKN
б=исисан;(бисӣсаᴴлъ);нахождение;NOUN
б=исисанар;;масд. гл.   бисисáйна;UNKN
б=исисанар;(–лъилъ);нахождение;NOUN
б=исисар;;масд. гл.  бӣсисила;UNKN
б=исисар;(–лъилъ);давление;NOUN
б=исисар;(–лъилъ);уплотнение;NOUN
б=исиси=ла;(–а,–ас̄,–á,–б/о,–ēх);давить;INFN
б=исиси=на;(–аᴴ,–áᴴс̄,–иᴴбé,–а/м/о,–н́а̄х);находить;INFN
бискина=б;;бедный;NOUN
бискина=б;;жалкий (вид);ADJF
бискина=б;;тихий;ADJF
бискинлгьар;;масд. гл. бискӣн̄лгьила;UNKN
бискинлгьар;(–лъилъ);бедность;NOUN
бискинлгьар;(–лъилъ);нужда;NOUN
бискинлгьи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);беднеть;INFN
бисмил̄а;;именем Аллаха;NOUN
б=ису=б=б=есу=б;;прич. гл. бӣсила;UNKN
б=ису=б=б=есу=б;;плотный;ADJF
б=ису=б=б=есу=б;;крепкий (о телосложении);ADJF
б=ӣс̄Ӏа=йна;(–н,–нас̄,–нá,–н̄о,–нēх);понуд. от  бӣс̄Īина;UNKN
б=ӣс̄Ӏан;;масд. гл.  бӣс̄Īина;UNKN
б=ӣс̄Ӏан;(бис̄Īáᴴлъ);счет;NOUN
б=ӣс̄Ӏан;(бис̄Īáᴴлъ);уважение;NOUN
б=ӣс̄Ӏи=на;(–иᴴ,–áᴴс,–áᴴ,–м/о,–ӣнāх);считать;INFN
б=ӣс̄Ӏи=на;(–иᴴ,–áᴴс,–áᴴ,–м/о,–ӣнāх);считаться;INFN
б=ӣс̄Ӏино̄=б;;прич.  гл.  бис̄Īина;UNKN
б=ӣс̄Ӏино̄=б;;уважаемый;ADJF
б=ӣс̄Ӏӣс̄Ӏан;;масд. гл.  бис̄Īӣс̄Īина;UNKN
б=ӣс̄Ӏӣс̄Ӏан;(бис̄Īӣс̄Īаᴴлъ);счет;NOUN
б=ӣс̄Ӏӣс̄Ӏи=на;(–иᴴ,–áᴴс̄,–áᴴ,–м/о,–нāх);считать;INFN
б=ита=йна;(–н,–нас̄,–нá,–н̄о,–нēх);терять;INFN
б=итан;(битáᴴлъ);масд. гл.   бӣтина;UNKN
б=итан;(битáᴴлъ);пропажа;NOUN
б=итанар;;масд. гл.   битáйна;UNKN
б=итанар;(–лъилъ);потеря;NOUN
б=ити=на;(–аᴴ,–áᴴс̄,–амé,–м/о,–ӣнāх);теряться;INFN
б=итита=йна;(–н,–нáс̄,–нá,–н̄о,–нēх);терять;INFN
б=ититан;;масд. гл.  бӣтитина;UNKN
б=ититан;(бӣтитаᴴлъ);утеря;NOUN
б=ититанар;;масд. гл.  бититáйна;UNKN
б=ититанар;(–лъилъ);утеря;NOUN
б=итити=на;(–аᴴ,–аᴴс̄,–амé,–амо,–ӣнāх);теряться;INFN
битон;(битоᴴлъ,–аби);бидон;NOUN
битӀ;;ровно;ADJS
битӀ;;верно;ADVB
битӀ;;как раз;PRCL
битӀ-битӀ;;см. битIилáх;UNKN
битӀ-битӀла;;буквально;ADJS
б=итӀ̄ер;;масд. гл.   битIла;UNKN
б=итӀ̄ер;(–лъилъ);выпрямление;NOUN
б=итӀ̄ер;(–лъилъ);исправление;NOUN
б=итӀ̄ер;(–лъилъ);излечивание;NOUN
битӀилах;(употребляется для усиления значения);прямо (употребляется для усиления значения);ADJS
б=итӀилгьар;;масд. гл. битIӣлгьила;UNKN
б=итӀилгьар;(–лъилъ);выздоровление;NOUN
б=итӀилгьар;(–лъилъ);заживление;NOUN
б=итӀилгьар;(–лъилъ);везение;NOUN
б=итӀилгьар;(–лъилъ);выпрямление;NOUN
б=итӀилгьи=ла;(–ø,–ас̄,–бé,–б/о,–е́̄х);выздоравливать;INFN
б=итӀилгьи=ла;(–ø,–ас̄,–бé,–б/о,–е́̄х);заживать;INFN
б=итӀилгьи=ла;(–ø,–ас̄,–бé,–б/о,–е́̄х);быть везучим;INFN
б=итӀилгьи=ла;(–ø,–ас̄,–бé,–б/о,–е́̄х);выпрямляться;INFN
б=итӀ̄и=ла;(–ø,–е́̄с̄,–е́̄,–ӣ/б/о,–ӣйāх);выпрямлять;INFN
б=итӀ̄и=ла;(–ø,–е́̄с̄,–е́̄,–ӣ/б/о,–ӣйāх);исправлять;INFN
б=итӀ̄и=ла;(–ø,–е́̄с̄,–е́̄,–ӣ/б/о,–ӣйāх);лечить;INFN
б=итӀу=б;;удачный;ADJF
б=итӀу=б;;лёгкая (о руке);ADJF
бӣт̄Ӏу=б;;прямой;ADJF
бӣт̄Ӏу=б;;правильный;ADJF
бӣт̄Ӏу=б;;правдивый;ADJF
б=итӀе=б;;прич. гл.   битIла;UNKN
б=итӀе=б;;исправленный;PRTF
б=итӀе=б;;залеченный;PRTF
б=итӀе=б;;заправленный (о постели);PRTF
битӀубида;;поделом;ADVB
б=их̄а=йла;(–л,–лас̄,–лá,–л̄о,–лēх);радовать;INFN
б=их̄а=йла;(–л,–лас̄,–лá,–л̄о,–лēх);вызывать улыбку;INFN
